province;red;green;blue;x;x
228;168;180;72;x;x
229;0;162;40;x;x
230;126;87;34;x;x
231;84;168;41;x;x
232;168;198;17;x;x
233;168;210;77;x;x
234;126;120;4;x;x
235;126;6;14;x;x
236;126;192;74;x;x
237;126;63;59;x;x
238;126;66;24;x;x
239;84;108;31;x;x
240;0;9;50;x;x
241;42;66;53;x;x
242;126;90;99;x;x
243;168;21;52;x;x
244;168;81;62;x;x
245;84;171;6;x;x
246;126;162;69;x;x
247;126;132;64;x;x
248;84;141;1;x;x
249;84;6;56;x;x
250;84;126;76;x;x
251;168;108;2;x;x
252;84;36;61;x;x
253;168;177;7;x;x
254;0;138;65;x;x
255;126;21;94;x;x
256;0;183;50;x;x
257;126;78;189;x;x
258;42;102;193;x;x
259;0;114;195;x;x
260;126;138;199;x;x
261;0;144;200;x;x
262;84;150;201;x;x
263;168;156;202;x;x
264;172;60;132;x;x
265;130;12;224;x;x
266;131;72;144;x;x
267;85;57;176;x;x
268;47;99;213;x;x
269;48;195;168;x;x
270;174;189;212;x;x
271;90;27;211;x;x
272;45;96;183;x;x
273;131;21;129;x;x
274;170;66;152;x;x
275;170;180;187;x;x
276;173;204;182;x;x
277;128;123;184;x;x
278;2;171;205;x;x
279;43;144;168;x;x
280;171;159;187;x;x
281;171;30;172;x;x
282;85;90;146;x;x
283;89;117;216;x;x
284;1;171;195;x;x
285;128;33;169;x;x
286;132;189;154;x;x
287;170;156;167;x;x
288;86;42;206;x;x
289;1;123;145;x;x
290;43;198;193;x;x
291;133;33;154;x;x
292;2;21;180;x;x
293;171;99;177;x;x
294;5;63;165;x;x
295;3;111;150;x;x
296;131;123;159;x;x
297;5;126;195;x;x
298;127;51;159;x;x
299;171;105;162;x;x
300;127;54;224;x;x
301;1;120;135;x;x
302;126;42;154;x;x
303;127;159;164;x;x
304;127;9;139;x;x
305;4;126;185;x;x
306;88;81;171;x;x
307;0;66;200;x;x
308;127;48;139;x;x
309;42;183;213;x;x
310;46;162;133;x;x
311;173;78;132;x;x
312;87;69;156;x;x
313;5;96;190;x;x
314;45;123;223;x;x
315;133;123;169;x;x
316;170;123;142;x;x
317;47;162;188;x;x
318;85;45;216;x;x
319;131;15;199;x;x
320;43;99;183;x;x
321;46;42;213;x;x
322;43;192;218;x;x
323;130;81;129;x;x
324;170;51;172;x;x
325;132;102;204;x;x
326;0;165;210;x;x
327;89;15;186;x;x
328;168;36;32;x;x
329;173;48;182;x;x
330;172;117;177;x;x
331;130;15;144;x;x
332;89;180;191;x;x
333;88;114;141;x;x
334;127;21;199;x;x
335;4;114;170;x;x
336;1;90;130;x;x
337;173;111;202;x;x
338;129;186;169;x;x
339;6;120;220;x;x
340;42;186;178;x;x
341;89;192;206;x;x
342;45;159;158;x;x
343;174;42;152;x;x
344;44;96;128;x;x
345;89;165;211;x;x
346;131;0;174;x;x
347;170;168;227;x;x
348;172;96;167;x;x
349;132;147;134;x;x
350;47;60;158;x;x
351;86;3;206;x;x
352;90;138;181;x;x
353;170;177;222;x;x
354;130;183;159;x;x
355;172;192;167;x;x
356;87;12;156;x;x
357;126;66;129;x;x
358;131;90;189;x;x
359;45;18;128;x;x
360;86;96;186;x;x
361;4;75;170;x;x
362;88;120;171;x;x
363;174;36;222;x;x
364;174;21;197;x;x
365;46;129;208;x;x
366;1;189;140;x;x
367;172;180;207;x;x
368;130;171;199;x;x
369;128;165;149;x;x
370;132;15;209;x;x
371;86;33;211;x;x
372;46;204;198;x;x
373;170;75;147;x;x
374;2;162;210;x;x
375;4;57;180;x;x
376;126;135;84;x;x
377;49;63;188;x;x
378;87;162;181;x;x
379;45;18;183;x;x
380;5;99;155;x;x
381;171;129;182;x;x
382;4;51;195;x;x
383;7;6;185;x;x
384;90;0;216;x;x
385;169;159;222;x;x
386;172;132;157;x;x
387;1;84;200;x;x
388;127;87;194;x;x
389;2;84;155;x;x
390;4;66;175;x;x
391;87;165;201;x;x
392;85;18;176;x;x
393;5;156;145;x;x
394;47;204;208;x;x
395;90;96;216;x;x
396;47;207;173;x;x
397;4;186;195;x;x
398;43;15;198;x;x
399;174;117;142;x;x
400;5;36;225;x;x
401;87;33;221;x;x
402;1;18;0;x;x
403;171;183;162;x;x
404;45;144;178;x;x
405;2;210;205;x;x
406;44;201;168;x;x
407;132;45;214;x;x
408;131;156;174;x;x
409;46;168;163;x;x
410;1;153;205;x;x
411;4;117;190;x;x
412;3;180;210;x;x
413;43;90;188;x;x
414;42;159;138;x;x
415;171;141;197;x;x
416;88;57;196;x;x
417;1;93;140;x;x
418;174;153;177;x;x
419;86;108;146;x;x
420;43;207;143;x;x
421;132;204;179;x;x
422;174;63;162;x;x
423;49;30;218;x;x
424;127;147;204;x;x
425;5;159;165;x;x
426;171;48;217;x;x
427;44;120;203;x;x
428;130;18;209;x;x
429;43;183;168;x;x
430;126;201;24;x;x
431;1;156;170;x;x
432;47;168;218;x;x
433;170;207;182;x;x
434;45;57;183;x;x
435;3;45;210;x;x
436;128;54;179;x;x
437;132;24;204;x;x
438;171;111;192;x;x
439;86;168;156;x;x
440;129;162;194;x;x
441;88;210;141;x;x
442;131;57;164;x;x
443;45;108;143;x;x
444;170;183;152;x;x
445;133;156;139;x;x
446;5;105;130;x;x
447;3;192;170;x;x
448;132;30;134;x;x
449;48;6;188;x;x
450;43;135;218;x;x
451;48;102;188;x;x
452;88;84;191;x;x
453;44;111;153;x;x
454;129;3;174;x;x
455;88;54;131;x;x
456;169;72;172;x;x
457;2;207;140;x;x
458;6;180;175;x;x
459;171;204;172;x;x
460;129;87;159;x;x
461;90;108;176;x;x
462;128;159;174;x;x
463;86;93;221;x;x
464;128;3;219;x;x
465;88;36;141;x;x
466;170;45;142;x;x
467;90;9;166;x;x
468;169;6;132;x;x
469;171;105;207;x;x
470;43;102;148;x;x
471;170;72;182;x;x
472;169;30;2;x;x
473;132;159;149;x;x
474;132;138;139;x;x
475;91;174;171;x;x
476;127;165;194;x;x
477;90;210;151;x;x
478;126;39;189;x;x
479;128;51;214;x;x
480;131;30;224;x;x
481;86;54;221;x;x
482;129;24;129;x;x
483;1;150;140;x;x
484;130;84;149;x;x
485;86;186;201;x;x
486;131;207;189;x;x
487;172;60;187;x;x
488;4;78;135;x;x
489;86;120;161;x;x
490;46;33;163;x;x
491;0;168;175;x;x
492;44;99;193;x;x
493;169;96;147;x;x
494;174;126;137;x;x
495;169;42;167;x;x
496;43;126;223;x;x
497;175;24;217;x;x
498;174;9;182;x;x
499;88;72;176;x;x
500;46;90;208;x;x
501;89;177;226;x;x
502;128;117;154;x;x
503;173;93;212;x;x
504;88;192;196;x;x
505;2;48;220;x;x
506;132;207;144;x;x
507;45;204;188;x;x
508;4;90;150;x;x
509;128;168;169;x;x
510;2;18;215;x;x
511;87;120;216;x;x
512;174;72;157;x;x
513;129;168;224;x;x
514;171;33;137;x;x
515;171;36;202;x;x
516;172;198;197;x;x
517;126;153;179;x;x
518;170;174;212;x;x
519;130;66;204;x;x
520;132;141;159;x;x
521;90;120;136;x;x
522;131;24;194;x;x
523;43;138;183;x;x
524;173;78;187;x;x
525;3;3;145;x;x
526;127;207;159;x;x
527;44;0;128;x;x
528;2;15;195;x;x
529;4;174;135;x;x
530;173;207;147;x;x
531;47;51;163;x;x
532;85;99;196;x;x
533;171;108;227;x;x
534;172;24;197;x;x
535;128;132;179;x;x
536;47;27;188;x;x
537;127;171;179;x;x
538;4;189;160;x;x
539;88;21;216;x;x
540;88;57;151;x;x
541;44;6;213;x;x
542;130;207;134;x;x
543;2;27;210;x;x
544;91;168;141;x;x
545;130;141;139;x;x
546;2;78;170;x;x
547;89;195;171;x;x
548;85;27;226;x;x
549;88;144;146;x;x
550;43;36;3;x;x
551;172;6;207;x;x
552;129;0;209;x;x
553;171;153;157;x;x
554;175;183;137;x;x
555;86;90;156;x;x
556;90;54;196;x;x
557;7;129;170;x;x
558;171;165;217;x;x
559;47;147;163;x;x
560;168;141;177;x;x
561;43;42;193;x;x
562;43;18;163;x;x
563;169;33;172;x;x
564;46;183;188;x;x
565;169;75;192;x;x
566;88;87;156;x;x
567;168;60;157;x;x
568;3;168;195;x;x
569;90;153;161;x;x
570;128;72;224;x;x
571;172;126;172;x;x
572;6;204;205;x;x
573;4;105;175;x;x
574;85;96;176;x;x
575;131;171;154;x;x
576;89;60;171;x;x
577;126;72;159;x;x
578;170;21;222;x;x
579;85;198;206;x;x
580;45;12;198;x;x
581;172;174;222;x;x
582;85;30;136;x;x
583;175;51;157;x;x
584;1;144;155;x;x
585;86;153;131;x;x
586;6;54;225;x;x
587;3;66;165;x;x
588;46;87;143;x;x
589;90;171;151;x;x
590;44;189;208;x;x
591;129;132;189;x;x
592;132;75;219;x;x
593;2;39;170;x;x
594;131;126;169;x;x
595;131;48;169;x;x
596;90;126;166;x;x
597;127;51;204;x;x
598;44;33;153;x;x
599;45;207;153;x;x
600;89;78;161;x;x
601;132;54;209;x;x
602;128;24;174;x;x
603;131;63;194;x;x
604;174;105;182;x;x
605;47;87;153;x;x
606;127;39;144;x;x
607;84;9;226;x;x
608;169;6;187;x;x
609;132;18;174;x;x
610;85;186;191;x;x
611;46;63;223;x;x
612;45;30;143;x;x
613;47;48;198;x;x
614;5;111;215;x;x
615;126;90;149;x;x
616;169;0;202;x;x
617;132;201;214;x;x
618;127;48;194;x;x
619;132;111;154;x;x
620;86;48;136;x;x
621;127;111;214;x;x
622;85;66;226;x;x
623;87;36;186;x;x
624;85;114;16;x;x
625;44;90;143;x;x
626;6;27;140;x;x
627;90;186;176;x;x
628;46;69;153;x;x
629;48;33;128;x;x
630;84;108;136;x;x
631;168;87;197;x;x
632;130;174;164;x;x
633;133;162;169;x;x
634;127;114;134;x;x
635;132;87;179;x;x
636;43;153;163;x;x
637;2;126;220;x;x
638;5;129;160;x;x
639;1;111;185;x;x
640;171;24;142;x;x
641;6;57;190;x;x
642;87;93;176;x;x
643;128;156;154;x;x
644;90;156;226;x;x
645;45;195;193;x;x
646;3;108;185;x;x
647;2;201;155;x;x
648;4;99;145;x;x
649;131;129;134;x;x
650;131;204;224;x;x
651;128;192;189;x;x
652;132;12;189;x;x
653;89;87;211;x;x
654;47;180;133;x;x
655;127;129;159;x;x
656;1;78;215;x;x
657;89;201;201;x;x
658;45;177;148;x;x
659;89;39;216;x;x
660;86;174;141;x;x
661;132;42;194;x;x
662;132;84;159;x;x
663;43;105;213;x;x
664;1;168;130;x;x
665;43;24;148;x;x
666;131;153;209;x;x
667;44;150;208;x;x
668;86;81;206;x;x
669;89;123;146;x;x
670;4;60;145;x;x
671;174;156;142;x;x
672;127;18;134;x;x
673;4;84;165;x;x
674;172;75;212;x;x
675;5;48;140;x;x
676;1;21;225;x;x
677;4;75;225;x;x
678;6;69;205;x;x
679;129;51;169;x;x
680;2;204;175;x;x
681;132;135;174;x;x
682;48;162;143;x;x
683;131;78;174;x;x
684;129;48;204;x;x
685;5;135;190;x;x
686;170;144;207;x;x
687;1;183;210;x;x
688;128;69;159;x;x
689;89;114;151;x;x
690;129;45;139;x;x
691;129;27;194;x;x
692;131;81;139;x;x
693;170;96;157;x;x
694;126;135;134;x;x
695;173;135;177;x;x
696;49;57;158;x;x
697;88;51;166;x;x
698;133;63;159;x;x
699;47;153;193;x;x
700;7;15;180;x;x
701;0;201;145;x;x
702;43;195;183;x;x
703;7;168;170;x;x
704;171;201;207;x;x
705;128;93;179;x;x
706;91;18;216;x;x
707;126;90;204;x;x
708;48;75;193;x;x
709;45;93;218;x;x
710;87;36;131;x;x
711;45;138;203;x;x
712;47;0;148;x;x
713;3;198;200;x;x
714;173;45;162;x;x
715;86;111;166;x;x
716;127;75;179;x;x
717;4;12;195;x;x
718;171;111;137;x;x
719;171;120;187;x;x
720;89;84;146;x;x
721;87;150;221;x;x
722;128;75;134;x;x
723;0;132;140;x;x
724;42;129;133;x;x
725;127;27;184;x;x
726;44;27;168;x;x
727;46;99;158;x;x
728;171;156;222;x;x
729;174;42;207;x;x
730;2;180;200;x;x
731;171;162;152;x;x
732;128;69;204;x;x
733;169;60;7;x;x
734;43;201;158;x;x
735;129;60;219;x;x
736;5;171;225;x;x
737;43;162;213;x;x
738;127;207;214;x;x
739;86;30;146;x;x
740;170;147;172;x;x
741;88;168;221;x;x
742;6;192;190;x;x
743;90;42;136;x;x
744;173;207;202;x;x
745;7;108;160;x;x
746;44;33;198;x;x
747;132;81;149;x;x
748;2;48;165;x;x
749;133;132;164;x;x
750;86;0;141;x;x
751;90;183;166;x;x
752;172;141;152;x;x
753;84;201;216;x;x
754;172;78;177;x;x
755;128;96;144;x;x
756;126;168;54;x;x
757;5;210;225;x;x
758;172;162;162;x;x
759;91;135;171;x;x
760;87;39;151;x;x
761;131;99;129;x;x
762;174;96;187;x;x
763;170;198;132;x;x
764;169;99;167;x;x
765;129;114;199;x;x
766;7;195;210;x;x
767;172;129;137;x;x
768;87;69;201;x;x
769;169;171;137;x;x
770;86;114;176;x;x
771;127;132;224;x;x
772;170;84;197;x;x
773;174;90;202;x;x
774;46;75;183;x;x
775;168;78;202;x;x
776;89;165;166;x;x
777;44;0;183;x;x
778;45;174;183;x;x
779;44;189;153;x;x
780;45;54;163;x;x
781;169;189;77;x;x
782;169;102;132;x;x
783;88;111;176;x;x
784;0;45;190;x;x
785;86;207;211;x;x
786;171;84;152;x;x
787;43;3;138;x;x
788;4;36;170;x;x
789;169;144;197;x;x
790;42;147;178;x;x
791;46;105;188;x;x
792;2;78;225;x;x
793;0;21;215;x;x
794;4;153;225;x;x
795;131;102;149;x;x
796;48;9;153;x;x
797;170;93;137;x;x
798;89;198;136;x;x
799;46;102;223;x;x
800;84;30;31;x;x
801;168;174;147;x;x
802;1;45;145;x;x
803;42;33;188;x;x
804;175;114;132;x;x
805;4;102;210;x;x
806;4;201;175;x;x
807;131;138;184;x;x
808;2;141;200;x;x
809;174;183;182;x;x
810;0;111;80;x;x
811;46;192;138;x;x
812;0;48;155;x;x
813;1;51;175;x;x
814;6;114;135;x;x
815;85;90;201;x;x
816;43;0;173;x;x
817;90;93;151;x;x
818;91;171;206;x;x
819;130;42;129;x;x
820;0;72;130;x;x
821;128;0;199;x;x
822;173;186;192;x;x
823;131;162;159;x;x
824;43;171;153;x;x
825;3;189;205;x;x
826;45;42;203;x;x
827;46;165;143;x;x
828;87;78;151;x;x
829;87;15;176;x;x
830;131;156;129;x;x
831;89;48;156;x;x
832;89;72;186;x;x
833;90;51;131;x;x
834;4;45;165;x;x
835;48;54;138;x;x
836;130;78;219;x;x
837;44;186;143;x;x
838;44;96;173;x;x
839;42;99;78;x;x
840;132;93;209;x;x
841;89;162;146;x;x
842;85;186;146;x;x
843;133;159;204;x;x
844;129;210;144;x;x
845;169;102;177;x;x
846;48;81;178;x;x
847;173;39;132;x;x
848;2;57;215;x;x
849;42;90;133;x;x
850;169;135;147;x;x
851;45;66;178;x;x
852;172;165;227;x;x
853;127;15;169;x;x
854;48;210;193;x;x
855;169;9;197;x;x
856;87;30;201;x;x
857;87;66;191;x;x
858;172;111;147;x;x
859;129;180;184;x;x
860;168;126;47;x;x
861;46;75;128;x;x
862;168;183;92;x;x
863;168;63;222;x;x
864;126;195;94;x;x
865;46;120;213;x;x
866;133;93;164;x;x
867;44;153;218;x;x
868;129;144;149;x;x
869;45;78;193;x;x
870;3;180;155;x;x
871;5;141;220;x;x
872;90;180;146;x;x
873;44;153;173;x;x
874;131;201;159;x;x
875;130;75;154;x;x
876;90;66;211;x;x
877;2;117;225;x;x
878;127;138;154;x;x
879;44;126;178;x;x
880;84;177;141;x;x
881;46;54;173;x;x
882;128;183;194;x;x
883;127;198;219;x;x
884;91;54;151;x;x
885;170;24;132;x;x
886;129;195;164;x;x
887;133;96;129;x;x
888;47;177;213;x;x
889;173;54;157;x;x
890;128;75;189;x;x
891;130;105;159;x;x
892;173;81;152;x;x
893;86;21;151;x;x
894;91;24;146;x;x
895;43;204;178;x;x
896;87;99;161;x;x
897;86;102;216;x;x
898;129;144;204;x;x
899;5;144;185;x;x
900;132;153;219;x;x
901;171;192;212;x;x
902;7;42;220;x;x
903;87;45;181;x;x
904;91;198;146;x;x
905;46;102;168;x;x
906;173;144;172;x;x
907;173;132;212;x;x
908;86;6;171;x;x
909;126;195;144;x;x
910;127;114;179;x;x
911;45;6;168;x;x
912;4;114;225;x;x
913;3;0;225;x;x
914;132;105;224;x;x
915;132;180;159;x;x
916;44;87;178;x;x
917;127;150;169;x;x
918;131;120;194;x;x
919;131;114;209;x;x
920;170;90;172;x;x
921;1;90;175;x;x
922;43;165;223;x;x
923;47;81;168;x;x
924;169;180;132;x;x
925;174;102;217;x;x
926;89;36;196;x;x
927;4;24;210;x;x
928;127;168;159;x;x
929;132;192;219;x;x
930;131;36;209;x;x
931;4;198;155;x;x
932;87;207;166;x;x
933;129;123;194;x;x
934;47;159;223;x;x
935;48;18;203;x;x
936;173;201;217;x;x
937;1;198;135;x;x
938;90;84;201;x;x
939;47;54;128;x;x
940;45;0;138;x;x
941;128;99;209;x;x
942;171;132;202;x;x
943;174;51;202;x;x
944;174;6;217;x;x
945;85;12;146;x;x
946;171;195;177;x;x
947;131;117;174;x;x
948;85;36;221;x;x
949;0;198;180;x;x
950;42;207;188;x;x
951;1;3;180;x;x
952;46;207;163;x;x
953;90;18;161;x;x
954;2;90;185;x;x
955;172;3;142;x;x
956;129;63;129;x;x
957;6;96;145;x;x
958;1;147;175;x;x
959;6;120;165;x;x
960;126;102;164;x;x
961;1;72;185;x;x
962;169;108;162;x;x
963;175;117;197;x;x
964;47;60;213;x;x
965;174;63;217;x;x
966;47;36;138;x;x
967;47;63;178;x;x
968;46;153;183;x;x
969;87;54;176;x;x
970;7;138;165;x;x
971;174;108;147;x;x
972;172;84;207;x;x
973;1;108;15;x;x
974;45;171;218;x;x
975;6;108;205;x;x
976;169;99;212;x;x
977;3;159;200;x;x
978;6;183;140;x;x
979;87;186;156;x;x
980;1;99;225;x;x
981;129;93;189;x;x
982;46;6;223;x;x
983;132;78;184;x;x
984;47;192;193;x;x
985;130;156;219;x;x
986;90;57;161;x;x
987;85;54;211;x;x
988;2;123;155;x;x
989;44;108;188;x;x
990;128;45;129;x;x
991;171;165;172;x;x
992;128;201;139;x;x
993;131;60;129;x;x
994;46;159;213;x;x
995;172;48;172;x;x
996;89;33;131;x;x
997;131;3;139;x;x
998;84;207;146;x;x
999;172;189;147;x;x
1000;132;21;184;x;x
1001;128;102;129;x;x
1002;43;78;128;x;x
1003;174;6;172;x;x
1004;43;102;203;x;x
1005;43;120;193;x;x
1006;2;75;205;x;x
1007;44;90;198;x;x
1008;49;66;153;x;x
1009;169;87;152;x;x
1010;3;27;165;x;x
1011;0;78;160;x;x
1012;88;60;161;x;x
1013;0;36;195;x;x
1014;175;150;167;x;x
1015;128;189;224;x;x
1016;127;66;184;x;x
1017;87;33;166;x;x
1018;1;177;225;x;x
1019;1;150;185;x;x
1020;6;117;155;x;x
1021;89;45;191;x;x
1022;1;33;185;x;x
1023;44;144;223;x;x
1024;169;39;157;x;x
1025;88;174;206;x;x
1026;170;21;167;x;x
1027;5;45;175;x;x
1028;130;48;159;x;x
1029;128;36;134;x;x
1030;91;111;196;x;x
1031;131;120;139;x;x
1032;0;207;25;x;x
1033;0;6;190;x;x
1034;0;162;145;x;x
1035;90;159;191;x;x
1036;90;207;186;x;x
1037;46;36;183;x;x
1038;173;99;142;x;x
1039;128;192;144;x;x
1040;132;111;199;x;x
1041;5;69;195;x;x
1042;87;156;206;x;x
1043;90;0;171;x;x
1044;1;81;180;x;x
1045;174;192;177;x;x
1046;129;66;149;x;x
1047;84;117;81;x;x
1048;85;165;136;x;x
1049;127;24;164;x;x
1050;133;42;149;x;x
1051;171;12;227;x;x
1052;173;51;147;x;x
1053;89;183;156;x;x
1054;2;198;145;x;x
1055;170;27;152;x;x
1056;88;9;201;x;x
1057;86;69;146;x;x
1058;6;141;175;x;x
1059;88;102;181;x;x
1060;132;183;224;x;x
1061;131;36;154;x;x
1062;4;33;205;x;x
1063;174;93;167;x;x
1064;47;180;178;x;x
1065;1;27;155;x;x
1066;170;117;212;x;x
1067;4;138;200;x;x
1068;133;192;174;x;x
1069;169;195;157;x;x
1070;86;63;216;x;x
1071;48;78;213;x;x
1072;44;186;188;x;x
1073;1;63;190;x;x
1074;87;60;206;x;x
1075;174;54;167;x;x
1076;85;123;216;x;x
1077;174;99;197;x;x
1078;169;129;172;x;x
1079;43;201;213;x;x
1080;130;75;199;x;x
1081;46;186;208;x;x
1082;85;129;201;x;x
1083;5;93;170;x;x
1084;48;186;218;x;x
1085;89;78;216;x;x
1086;173;60;142;x;x
1087;171;12;182;x;x
1088;5;186;205;x;x
1089;88;150;176;x;x
1090;2;42;135;x;x
1091;169;192;147;x;x
1092;90;93;196;x;x
1093;46;96;193;x;x
1094;132;15;154;x;x
1095;46;186;153;x;x
1096;84;135;176;x;x
1097;171;102;197;x;x
1098;1;162;200;x;x
1099;130;120;184;x;x
1100;128;36;189;x;x
1101;132;144;169;x;x
1102;90;177;181;x;x
1103;43;81;193;x;x
1104;4;3;200;x;x
1105;86;201;181;x;x
1106;84;138;141;x;x
1107;7;9;150;x;x
1108;129;72;179;x;x
1109;132;129;144;x;x
1110;5;78;145;x;x
1111;127;24;219;x;x
1112;131;9;169;x;x
1113;132;108;134;x;x
1114;46;144;188;x;x
1115;85;48;181;x;x
1116;170;120;177;x;x
1117;131;177;184;x;x
1118;6;87;150;x;x
1119;47;33;173;x;x
1120;48;162;198;x;x
1121;45;45;168;x;x
1122;47;27;143;x;x
1123;174;48;137;x;x
1124;48;114;148;x;x
1125;89;171;141;x;x
1126;85;6;161;x;x
1127;131;174;219;x;x
1128;170;120;132;x;x
1129;172;108;182;x;x
1130;84;180;56;x;x
1131;170;186;172;x;x
1132;173;159;152;x;x
1133;2;39;225;x;x
1134;174;165;192;x;x
1135;172;39;177;x;x
1136;4;129;150;x;x
1137;47;72;173;x;x
1138;171;171;147;x;x
1139;170;195;167;x;x
1140;90;144;211;x;x
1141;43;105;168;x;x
1142;85;114;221;x;x
1143;88;120;226;x;x
1144;43;63;148;x;x
1145;2;198;190;x;x
1146;86;57;186;x;x
1147;42;123;203;x;x
1148;174;156;197;x;x
1149;87;132;131;x;x
1150;43;192;163;x;x
1151;170;39;212;x;x
